index,Mileage,price,ModelYear,brakes,airbag,camera,controls,speakers,video,bluetooth,alarm,navigations,digital,keyless,heated,leather,armrest,total,Drivetrain,Fuel Type,Transmission,Make,Model
1128,28752.0,28935.0,2015.0,5,2,1,8,0,6,0,0,0,1,1,0,0,1,438,1,3,0,6,28
1129,39355.0,19956.0,2014.0,4,5,0,6,1,1,0,1,1,0,2,1,1,2,550,0,3,0,23,228
1130,88171.0,6990.0,2007.0,3,4,0,9,0,1,0,1,0,0,2,3,3,0,296,0,3,0,20,390
1131,162868.0,5555.0,2009.0,2,5,0,6,1,0,0,0,0,0,0,0,0,0,423,3,3,0,15,184
1132,8063.0,49900.0,2018.0,2,4,0,7,2,8,0,0,1,1,0,5,3,0,493,1,3,0,4,381
1133,40148.0,15985.0,2017.0,5,7,1,11,1,6,0,2,0,1,1,0,2,3,700,2,3,0,37,80
1134,25634.0,24995.0,2015.0,5,9,2,10,2,7,0,2,2,1,1,8,6,3,849,0,3,0,23,228
1135,26000.0,48955.0,2015.0,2,0,2,8,0,1,0,0,0,0,3,2,1,0,295,3,3,0,6,279
1136,76907.0,14199.0,2014.0,5,7,0,10,3,7,0,2,1,1,1,0,0,4,699,1,3,0,18,139
1137,10359.0,23990.0,2017.0,5,7,1,11,3,8,0,1,1,1,1,9,6,3,795,2,3,0,51,329
1138,20474.0,66494.0,2016.0,2,0,1,5,0,2,0,0,0,0,2,2,3,0,407,1,2,0,49,305
1139,10944.0,26496.0,2017.0,5,4,1,9,1,2,0,1,1,0,3,6,2,2,482,2,3,0,37,293
1140,18128.0,37899.0,2015.0,5,6,2,6,1,2,0,1,1,0,1,4,3,1,492,1,3,0,4,75
1141,27941.0,48600.0,2015.0,5,7,1,12,2,8,0,2,1,1,1,7,5,5,878,0,3,0,26,359
1142,6175.0,23978.0,2018.0,2,6,0,7,1,4,0,1,1,1,0,0,0,1,637,1,3,0,47,196
1143,26425.0,25777.0,2015.0,4,4,0,10,1,8,0,1,1,1,1,5,5,1,756,1,1,0,4,72
1144,50725.0,29888.0,2015.0,4,4,1,11,2,8,0,1,1,2,2,7,5,0,791,1,3,0,4,383
1145,33210.0,22995.0,2015.0,3,7,0,4,0,6,0,0,1,1,1,2,0,1,424,1,3,0,27,250
1146,19243.0,18797.0,2016.0,5,7,1,12,3,9,0,2,1,1,1,3,0,3,760,2,3,0,9,172
1147,74318.0,18997.0,2014.0,5,7,1,15,3,8,0,2,1,1,1,5,4,0,870,2,3,0,7,167
1148,17839.0,32533.0,2018.0,5,7,1,9,2,3,0,2,1,1,1,0,0,1,673,0,3,0,15,184
1149,35516.0,29782.0,2017.0,5,9,1,13,2,6,0,2,2,1,2,8,4,3,858,1,3,0,11,157
1150,20486.0,29375.0,2018.0,5,7,0,12,2,8,0,2,2,1,1,7,4,0,853,0,3,0,41,2
1151,43077.0,25979.0,2015.0,2,3,0,7,1,3,0,1,1,2,0,0,0,0,431,0,1,0,15,184
1152,9247.0,32979.0,2018.0,2,4,0,6,1,5,0,1,1,1,0,0,2,0,429,3,3,0,9,104
1153,139350.0,9995.0,2011.0,2,3,0,6,1,2,0,0,1,1,0,2,1,1,436,0,1,0,23,228
1154,14808.0,30475.0,2015.0,4,4,1,10,2,5,0,1,0,1,0,8,5,0,545,1,3,0,50,241
1155,47275.0,15977.0,2015.0,2,4,0,6,2,7,0,0,1,1,0,2,2,1,424,3,3,0,8,85
1156,8400.0,59800.0,2012.0,2,3,0,4,0,2,0,1,0,0,0,3,2,0,410,3,3,0,40,68
1157,129490.0,8688.0,2009.0,2,3,0,7,1,4,0,1,0,1,0,4,3,1,424,1,3,0,0,364
1158,29201.0,69895.0,2013.0,2,3,0,7,2,7,0,0,1,2,0,3,2,0,419,3,3,0,22,470
1159,9952.0,24526.0,2016.0,6,4,2,14,0,3,0,0,1,0,1,4,3,0,689,1,3,0,18,139
1160,85689.0,12999.0,2008.0,5,5,1,9,1,2,0,1,1,0,2,2,3,3,460,1,3,0,27,375
1161,47614.0,13990.0,2016.0,2,0,1,5,0,2,0,0,0,0,1,2,1,0,262,2,3,0,51,329
1162,65768.0,14299.0,2011.0,4,4,0,7,0,0,0,0,0,0,2,0,0,0,196,2,3,0,50,400
1163,48291.0,16997.0,2013.0,5,7,0,13,2,4,0,1,1,1,1,3,0,3,737,1,1,0,11,157
1164,39558.0,29921.0,2015.0,5,3,0,11,2,4,0,2,2,1,1,4,5,1,814,0,3,0,23,458
1165,87222.0,5995.0,2007.0,5,1,0,1,1,0,0,0,0,0,1,0,0,0,431,2,3,0,50,136
1166,55527.0,6995.0,2008.0,5,4,0,1,0,1,0,0,0,0,2,0,0,0,428,2,3,0,50,395
1167,57950.0,34944.0,2015.0,1,1,1,1,1,5,0,1,0,0,0,0,2,1,514,0,3,0,9,423
1168,31049.0,35400.0,2015.0,5,7,0,9,2,5,0,2,0,1,1,7,2,2,874,1,3,0,6,463
1169,18434.0,27567.0,2016.0,4,9,2,7,2,5,0,0,0,1,0,0,0,1,674,0,3,0,50,422
1170,17021.0,38977.0,2015.0,5,7,1,14,2,7,0,2,0,1,2,5,5,1,867,1,3,0,6,30
1171,11848.0,22800.0,2014.0,2,4,0,7,1,4,0,2,0,1,1,4,1,1,554,2,3,0,33,118
1172,68348.0,28000.0,2014.0,4,4,1,7,1,4,0,1,1,1,1,7,3,1,697,0,3,0,50,27
1173,16137.0,18500.0,2018.0,5,9,1,10,2,6,0,2,0,1,1,1,0,3,687,1,3,0,20,391
1174,45817.0,12680.0,2015.0,3,7,0,2,0,4,0,0,0,1,0,0,0,1,420,2,3,0,50,136
1175,53728.0,14922.0,2016.0,2,4,0,11,1,4,0,1,0,1,0,11,2,1,612,1,3,0,47,264
1176,59090.0,13912.0,2015.0,2,4,0,11,1,4,0,1,0,1,0,11,2,1,618,1,3,0,47,264
1177,82803.0,12777.0,2015.0,2,4,0,11,1,4,0,1,0,1,0,11,2,1,631,1,3,0,47,264
1178,1807.0,73499.0,2017.0,6,7,1,12,2,6,0,2,0,1,1,8,6,3,878,1,3,0,30,266
1179,75093.0,25972.0,2010.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,15,186
1180,18359.0,62800.0,2017.0,2,4,0,8,1,6,0,1,0,1,0,5,3,1,426,1,3,0,40,291
1181,25988.0,39986.0,2017.0,2,0,0,3,0,2,0,0,0,0,2,4,2,0,586,0,3,0,23,228
1182,28826.0,20900.0,2017.0,5,7,2,13,2,5,0,2,1,1,1,8,6,1,775,3,3,0,15,312
1183,71182.0,23900.0,2010.0,2,4,0,5,2,6,0,1,0,1,0,5,3,1,432,3,3,0,6,290
1184,36253.0,25996.0,2012.0,2,6,0,11,1,3,0,1,0,0,0,0,2,1,600,1,3,0,36,261
1185,37085.0,24989.0,2017.0,2,5,0,8,1,4,0,1,1,1,0,9,4,0,636,1,3,1,47,459
1186,22888.0,21000.0,1984.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,3,0,9,93
1187,38126.0,29895.0,2010.0,3,3,0,9,0,1,0,0,0,0,2,1,3,0,279,3,3,0,6,279
1188,58925.0,16950.0,2015.0,2,4,0,10,0,1,0,0,0,0,2,1,3,0,263,1,3,0,6,14
1189,15199.0,29978.0,2015.0,2,4,0,6,2,6,0,1,1,1,0,4,3,0,440,1,3,0,37,310
1190,48148.0,19995.0,2013.0,2,3,1,8,1,5,0,1,0,1,1,4,4,0,501,1,3,0,6,44
1191,19908.0,33999.0,2016.0,2,3,0,11,4,11,0,0,1,1,0,6,3,0,785,1,3,0,7,167
1192,68003.0,14199.0,2014.0,5,10,0,11,3,7,0,1,1,1,1,3,3,3,802,2,1,0,9,246
1193,7613.0,52270.0,2017.0,2,3,0,10,2,10,0,3,1,3,0,6,3,1,771,0,3,0,9,423
1194,46714.0,27570.0,2015.0,5,7,0,13,3,9,0,1,1,1,1,4,2,0,862,0,3,0,9,402
1195,10025.0,32716.0,2016.0,4,3,0,8,1,4,0,1,1,1,1,0,0,0,645,0,3,0,15,184
1196,60349.0,21500.0,2012.0,2,4,0,9,1,4,0,1,1,1,0,5,3,0,440,1,3,0,50,241
1197,16299.0,25494.0,2017.0,5,10,0,10,2,4,0,2,1,1,3,2,4,3,860,0,3,0,23,114
1198,12500.0,69800.0,2009.0,4,0,1,4,0,2,0,1,0,1,1,3,3,0,437,0,3,0,33,204
1199,20146.0,33800.0,2013.0,6,0,0,8,1,1,0,3,0,0,1,1,1,0,455,1,3,0,33,275
1200,18946.0,64500.0,2017.0,5,1,1,13,0,2,0,0,0,0,1,2,2,0,431,1,3,0,40,291
1201,47609.0,32800.0,2013.0,5,0,1,9,0,1,0,0,0,1,2,2,2,0,443,1,3,0,6,57
1202,40318.0,29500.0,2015.0,4,1,0,12,0,3,0,0,0,0,2,1,1,0,433,1,3,0,6,30
1203,57188.0,50800.0,2015.0,5,1,1,8,0,2,0,0,0,0,1,2,1,0,443,1,3,0,4,388
1204,31039.0,15493.0,2016.0,2,6,0,11,1,4,0,0,1,1,0,9,4,1,588,2,1,0,23,366
1205,7152.0,36977.0,2018.0,2,3,0,7,2,6,0,0,1,1,0,5,4,1,449,1,3,0,31,149
1206,14902.0,73477.0,2016.0,4,3,1,9,2,10,0,0,0,1,2,7,5,0,738,3,3,0,6,290
1207,14150.0,79998.0,2016.0,2,0,0,5,2,2,0,0,0,0,2,4,2,0,504,0,0,0,26,357
1208,113852.0,14995.0,2009.0,2,0,0,8,0,3,0,0,1,1,0,1,1,0,273,0,1,0,9,86
1209,9915.0,66995.0,2016.0,2,0,2,8,0,0,0,1,0,0,3,5,4,0,703,3,3,0,8,146
1210,45358.0,23477.0,2012.0,5,4,1,11,0,2,0,0,0,0,1,3,3,0,430,1,3,0,4,381
1211,20.0,19974.0,2017.0,4,4,1,8,0,2,0,0,1,1,1,0,0,1,478,1,3,0,47,196
1212,80141.0,22874.0,2012.0,2,4,0,4,1,0,0,0,0,0,1,0,2,0,312,1,3,0,33,120
1213,143170.0,13990.0,2013.0,3,4,1,10,0,1,0,0,0,0,3,6,4,0,484,1,1,0,11,157
1214,39526.0,27000.0,2015.0,5,10,1,12,2,10,0,2,1,1,1,8,1,1,873,1,3,0,27,250
1215,50667.0,28977.0,2013.0,5,9,0,14,2,7,0,1,0,1,1,9,4,0,860,1,3,0,6,56
1216,89297.0,24998.0,2008.0,2,4,0,7,2,8,0,0,1,2,0,5,4,0,509,1,4,0,27,272
1217,68279.0,26500.0,2012.0,5,3,0,13,3,5,0,2,2,1,2,5,6,1,781,0,3,0,23,458
1218,58590.0,19999.0,2014.0,2,4,0,8,1,4,0,1,0,1,0,11,2,0,628,1,3,1,47,248
1219,2999.0,37477.0,2018.0,3,0,1,5,0,2,0,0,0,0,3,2,1,0,432,1,3,0,33,98
1220,13469.0,24590.0,2018.0,6,11,0,10,2,9,0,3,1,1,1,5,3,3,812,2,3,0,9,246
1221,9146.0,68988.0,2018.0,4,3,1,9,2,9,0,1,0,1,2,4,5,0,765,1,3,0,6,288
1222,56253.0,15300.0,2012.0,5,7,1,11,2,4,0,2,1,0,1,7,7,3,796,1,3,0,21,206
1223,32916.0,17423.0,2015.0,5,9,1,11,3,6,0,2,1,2,1,7,5,3,782,2,4,0,15,201
1224,4828.0,54995.0,2018.0,5,9,1,10,2,5,0,2,1,1,2,7,2,2,870,1,3,0,6,463
1225,68305.0,13974.0,2012.0,5,2,0,6,0,1,0,0,1,2,2,2,1,2,461,1,3,0,27,250
1226,10416.0,28900.0,2016.0,2,1,0,7,1,2,0,0,1,1,0,0,0,0,520,0,3,1,23,458
1227,25558.0,36880.0,2015.0,2,4,0,10,0,1,0,0,0,0,2,1,3,0,288,3,3,1,6,21
1228,3088.0,28900.0,2018.0,2,4,0,5,1,4,0,1,0,0,2,5,4,1,504,1,3,0,4,70
1229,6896.0,81795.0,2017.0,5,7,1,13,3,11,0,1,1,1,1,7,1,2,854,0,3,0,26,357
1230,117842.0,5995.0,2007.0,3,3,0,4,0,0,0,0,0,0,2,0,1,0,295,0,3,0,23,228
1231,75995.0,14399.0,2010.0,2,0,0,4,0,1,0,0,0,0,1,0,0,0,132,3,3,0,15,312
1232,12222.0,19499.0,2016.0,5,3,0,7,1,2,0,1,0,0,1,4,2,1,357,2,3,0,51,91
1233,13792.0,23232.0,2016.0,5,10,1,9,2,6,0,1,2,1,1,0,5,3,792,0,3,0,23,114
1234,50845.0,13777.0,2014.0,5,3,0,9,1,9,0,1,1,1,1,3,3,1,842,2,3,0,7,260
1235,27194.0,36988.0,2014.0,2,3,0,5,1,4,0,1,0,1,0,7,2,1,546,1,3,0,6,464
1236,49089.0,9998.0,2013.0,2,4,0,6,1,3,0,1,0,1,0,3,0,1,581,2,3,0,20,407
1237,73611.0,10000.0,2014.0,2,4,0,6,1,3,0,1,1,2,0,2,0,1,439,2,3,0,15,201
1238,52800.0,23800.0,2014.0,5,1,0,8,1,2,0,0,0,0,1,0,1,0,433,1,3,0,6,461
1239,6341.0,43498.0,2018.0,4,4,1,8,1,7,0,1,0,1,2,4,2,1,740,1,3,0,33,219
1240,56654.0,21900.0,2014.0,4,4,1,11,2,10,0,1,1,1,2,6,4,1,765,2,3,0,0,369
1241,35142.0,23526.0,2015.0,6,4,2,14,0,5,0,0,1,0,1,4,3,3,748,2,3,0,18,321
1242,36997.0,23897.0,2015.0,1,0,0,6,0,0,0,6,0,0,1,3,3,0,674,1,3,0,8,85
1243,133058.0,12995.0,2009.0,5,4,2,11,0,2,0,0,0,0,3,6,4,0,509,0,3,0,21,350
1244,92310.0,14600.0,2012.0,3,4,0,10,0,1,0,0,0,0,2,1,0,0,266,0,3,0,18,332
1245,16993.0,28580.0,2016.0,4,9,1,10,2,5,0,1,0,1,2,0,1,1,724,0,3,0,50,422
1246,11397.0,68485.0,2015.0,4,5,2,11,5,10,0,1,1,1,1,5,7,1,834,3,3,1,9,138
1247,38053.0,31930.0,2016.0,5,9,1,11,2,5,0,2,2,2,1,7,2,2,848,1,3,0,28,301
1248,2002.0,277655.0,2017.0,3,2,0,5,1,4,0,1,0,1,1,3,5,0,638,1,3,0,25,243
1249,11393.0,17250.0,2017.0,5,7,1,10,2,6,0,2,0,1,1,3,0,3,716,2,3,0,20,441
1250,31683.0,24588.0,2008.0,4,3,0,7,2,6,0,1,2,1,2,6,5,1,815,3,3,0,11,112
1251,44377.0,19999.0,2016.0,2,4,0,11,1,4,0,1,0,1,0,9,2,1,598,1,3,0,47,323
1252,68759.0,41931.0,2015.0,3,2,3,8,2,1,0,0,1,0,1,7,4,1,474,0,0,0,17,401
1253,40891.0,27777.0,2015.0,5,5,2,8,1,3,0,1,1,1,4,5,6,1,490,1,3,0,4,380
1254,73520.0,19200.0,2015.0,6,10,1,12,2,6,0,2,1,1,1,8,4,1,861,3,3,0,20,212
1255,31875.0,28793.0,2015.0,2,4,0,8,1,2,0,0,1,1,0,3,0,1,566,3,0,0,41,2
1256,36838.0,66000.0,2015.0,5,7,1,13,3,11,0,1,1,1,1,10,2,4,855,0,3,0,26,357
1257,74210.0,10495.0,2011.0,2,4,0,5,1,3,0,0,0,1,0,0,0,0,426,2,4,0,50,333
1258,6254.0,23999.0,2018.0,5,7,1,10,3,7,0,2,1,1,1,9,6,3,858,2,3,0,9,172
1259,47569.0,17677.0,2014.0,5,3,1,10,1,5,0,1,1,2,2,6,5,1,731,1,3,0,28,299
1260,50012.0,43379.0,2015.0,5,7,1,9,2,6,0,2,0,1,1,7,6,2,866,1,3,0,6,464
1261,45446.0,17947.0,2014.0,5,9,0,13,2,7,0,0,0,1,2,5,5,3,852,1,0,0,6,13
1262,25439.0,23700.0,2016.0,5,8,1,13,3,6,0,2,1,1,2,6,2,3,879,1,3,0,9,436
1263,26772.0,10995.0,2014.0,4,7,0,8,2,2,0,0,0,1,0,0,0,1,702,2,3,0,23,331
1264,36794.0,28800.0,2014.0,7,3,0,12,1,6,0,2,1,1,1,3,5,1,799,3,3,0,6,481
1265,137546.0,9888.0,2005.0,2,4,0,9,0,2,0,0,1,0,2,4,4,0,387,1,3,0,17,478
1266,104499.0,23399.0,2011.0,4,6,1,7,0,0,0,0,0,1,2,5,3,0,382,1,3,0,6,463
1267,31516.0,19573.0,2015.0,5,10,2,11,2,6,0,2,0,1,1,7,5,3,784,2,3,0,50,87
1268,16652.0,54990.0,2017.0,2,3,1,7,1,5,0,1,0,1,1,5,3,0,587,1,3,0,6,46
1269,80230.0,20588.0,2013.0,2,4,1,6,1,5,0,1,1,1,0,4,5,1,590,1,3,0,27,375
1270,14119.0,29500.0,2017.0,5,7,1,9,2,3,0,1,2,1,2,3,0,4,774,0,3,0,41,2
1271,35768.0,16200.0,2017.0,5,9,0,9,2,5,0,1,1,1,1,3,2,1,708,0,3,0,23,366
1272,22428.0,12000.0,2016.0,4,10,2,11,3,8,0,2,1,1,1,1,0,3,809,2,3,0,9,143
1273,27.0,39800.0,2017.0,2,1,0,8,1,2,0,1,1,1,0,6,2,0,564,0,3,0,23,458
1274,66182.0,27850.0,2014.0,4,3,1,11,2,9,0,0,1,1,2,7,3,0,789,3,3,0,22,470
1275,35487.0,19994.0,2016.0,4,3,1,10,1,6,0,1,1,1,2,6,5,0,721,3,3,0,15,312
1276,34865.0,29994.0,2016.0,4,4,2,7,1,4,0,1,0,1,1,4,3,1,702,0,3,0,50,27
1277,51356.0,24888.0,2016.0,7,4,0,17,0,2,0,0,0,0,2,2,1,0,733,1,3,0,6,40
